dataset,accuracy,time_training_seconds,time_test_seconds,our_accuracy,our_balanced_accuracy,our_macro_f1,our_train_time_seconds,our_test_time_seconds,train_size,test_size,series_length,num_classes,accuracy_diff,train_time_diff,test_time_diff
RefrigerationDevices,0.696978,0.75,0.47,0.48,0.48000000000000004,0.47575415435144724,0.27753329277038574,0.1523439884185791,375,375,720,3,-0.216978,-0.47246670722961426,-0.31765601158142087
Rock,0.815333,0.45,0.27,0.8,0.7896825396825397,0.7734981684981685,0.23949575424194336,0.07761216163635254,20,50,2844,4,-0.01533299999999993,-0.21050424575805665,-0.19238783836364748
ScreenType,0.542222,0.75,0.47,0.47733333333333333,0.47733333333333333,0.47523527946626976,0.2642982006072998,0.14789867401123047,375,375,720,3,-0.06488866666666665,-0.4857017993927002,-0.3221013259887695
SemgHandGenderCh2,0.909889,1.14,1.54,0.8983333333333333,0.9009157509157509,0.8908606206631261,0.27071475982666016,0.3576650619506836,300,600,1500,2,-0.01155566666666663,-0.8692852401733397,-1.1823349380493164
SemgHandMovementCh2,0.675037,1.6,1.17,0.6955555555555556,0.6955555555555555,0.6971072732839331,0.5299179553985596,0.3188610076904297,450,450,1500,6,0.020518555555555595,-1.0700820446014405,-0.8511389923095702
SemgHandSubjectCh2,0.878667,1.6,1.16,0.8688888888888889,0.8688888888888888,0.8684697472012948,0.40895938873291016,0.31320977210998535,450,450,1500,5,-0.009778111111111043,-1.19104061126709,-0.8467902278900146
ShapeletSim,0.99963,0.14,0.2,1.0,1.0,1.0,0.1154928207397461,0.057871103286743164,20,180,500,2,0.00036999999999998145,-0.02450717926025392,-0.14212889671325685
ShapesAll,0.934778,1.0,0.58,0.9216666666666666,0.9216666666666666,0.9180571897591349,0.34270310401916504,0.20304489135742188,600,600,512,60,-0.013111333333333364,-0.657296895980835,-0.3769551086425781
SmallKitchenAppliances,0.813333,0.74,0.47,0.8373333333333334,0.8373333333333334,0.8374280170651311,0.24229884147644043,0.19054317474365234,375,375,720,3,0.0240003333333334,-0.49770115852355956,-0.27945682525634763
SmoothSubspace,0.958,0.21,0.04,0.9666666666666667,0.9666666666666667,0.9666633329999667,0.21510601043701172,0.043229103088378906,150,150,15,3,0.008666666666666711,0.0051060104370117265,0.0032291030883789054
SonyAIBORobotSurface1,0.948031,0.09,0.25,0.8985024958402662,0.9101182001039618,0.8982817125718265,0.05608201026916504,0.041908979415893555,20,601,70,2,-0.049528504159733755,-0.03391798973083496,-0.20809102058410645
SonyAIBORobotSurface2,0.941728,0.07,0.34,0.919202518363064,0.9277700121144348,0.9164820031298905,0.024235010147094727,0.08702683448791504,27,953,65,2,-0.022525481636936018,-0.04576498985290528,-0.252973165512085
StarLightCurves,0.981221,2.57,13.21,0.9825157843613405,0.963757327152882,0.9737387532814559,0.7751002311706543,2.753056049346924,1000,8236,1024,3,0.0012947843613404508,-1.7948997688293455,-10.456943950653077
Strawberry,0.97982,0.78,0.25,0.981081081081081,0.9836070791953144,0.9795578497067854,0.33648204803466797,0.06684231758117676,613,370,235,2,0.001261081081081028,-0.44351795196533206,-0.18315768241882324
SwedishLeaf,0.962933,0.51,0.28,0.9712,0.972759538598048,0.971876922509178,0.27138209342956543,0.08484292030334473,500,625,128,15,0.008266999999999913,-0.23861790657043458,-0.1951570796966553
Symbols,0.966834,0.11,0.91,0.9829145728643216,0.9833630936478964,0.9831358358228015,0.08904695510864258,0.24260377883911133,25,995,398,6,0.01608057286432163,-0.020953044891357422,-0.6673962211608887
SyntheticControl,0.990111,0.3,0.14,0.9833333333333333,0.9833333333333333,0.9833286449893489,0.08323287963867188,0.04825901985168457,300,300,60,6,-0.006777666666666682,-0.21676712036132811,-0.09174098014831544
ToeSegmentation1,0.941082,0.14,0.18,0.9605263157894737,0.9615740740740741,0.960489072879561,0.06270003318786621,0.05866384506225586,40,228,277,2,0.0194443157894737,-0.0772999668121338,-0.12133615493774413
ToeSegmentation2,0.94,0.16,0.12,0.9230769230769231,0.9205974842767295,0.8831355627472133,0.1267251968383789,0.03854489326477051,36,130,343,2,-0.01692307692307682,-0.0332748031616211,-0.08145510673522949
Trace,1.0,0.2,0.07,1.0,1.0,1.0,0.06726694107055664,0.03227591514587402,100,100,275,4,0.0,-0.13273305892944337,-0.03772408485412598
TwoLeadECG,0.997249,0.08,0.51,0.9982440737489026,0.9982456140350877,0.9982440723953998,0.05671381950378418,0.11601424217224121,23,1139,82,2,0.0009950737489025085,-0.023286180496215822,-0.3939857578277588
TwoPatterns,0.995283,1.26,1.76,0.99675,0.9967620597698681,0.9967546741261208,0.696138858795166,0.40802788734436035,1000,4000,128,4,0.001466999999999996,-0.563861141204834,-1.3519721126556397
UMD,0.990278,0.14,0.09,0.9930555555555556,0.9930555555555555,0.993054801953337,0.05292701721191406,0.08013010025024414,36,144,150,3,0.0027775555555555886,-0.08707298278808595,-0.009869899749755856
UWaveGestureLibraryAll,0.974912,2.39,6.05,0.9720826353992184,0.9721153767647168,0.9719299256885189,0.6381828784942627,1.2111759185791016,896,3582,945,8,-0.0028293646007816475,-1.7518171215057374,-4.838824081420898
UWaveGestureLibraryX,0.856049,1.47,3.01,0.8495254048017867,0.8480940010667029,0.8441713308235235,0.3807969093322754,0.5174942016601562,896,3582,315,8,-0.006523595198213217,-1.0892030906677246,-2.4925057983398435
UWaveGestureLibraryY,0.783398,1.5,3.05,0.7752652149637074,0.7759308924111725,0.7723520640020773,0.38831615447998047,0.5944809913635254,896,3582,315,8,-0.008132785036292667,-1.1116838455200195,-2.4555190086364744
UWaveGestureLibraryZ,0.800326,1.54,3.03,0.8015075376884422,0.8029899632151816,0.7970946531780334,0.36917567253112793,0.558582067489624,896,3582,315,8,0.0011815376884422024,-1.170824327468872,-2.471417932510376
Wafer,0.998978,1.4,3.5,0.9991888384166125,0.9975625096565746,0.9978915929904292,0.7226707935333252,0.5751171112060547,1000,6164,152,2,0.00021083841661251324,-0.6773292064666747,-2.9248828887939453
Wine,0.927778,0.15,0.04,0.9074074074074074,0.9074074074074074,0.9066067104808024,0.05255007743835449,0.02402806282043457,57,54,234,2,-0.02037059259259255,-0.0974499225616455,-0.01597193717956543
WordSynonyms,0.767555,0.37,0.48,0.7554858934169278,0.6137796450255082,0.6259701021944777,0.13259220123291016,0.12810087203979492,267,638,270,25,-0.012069106583072142,-0.23740779876708984,-0.35189912796020506
Worms,0.729437,0.49,0.13,0.7402597402597403,0.6958508158508159,0.7140495091762696,0.24428892135620117,0.04558420181274414,181,77,900,5,0.010822740259740282,-0.24571107864379882,-0.08441579818725586
WormsTwoClass,0.792641,0.48,0.12,0.7922077922077922,0.7878787878787878,0.7878787878787878,0.1879560947418213,0.043065786361694336,181,77,900,2,-0.0004332077922077904,-0.2920439052581787,-0.07693421363830566
Yoga,0.918689,0.53,2.73,0.9086666666666666,0.9067177830659208,0.9078870224244673,0.16469907760620117,0.6611580848693848,300,3000,426,2,-0.010022333333333355,-0.36530092239379885,-2.068841915130615
